feature,importance
vix_value,577
atr14,555
vix_change_pct,517
drop_from_52w_high_pct,509
volatility_20d,489
volume_ratio_20d,478
nikkei_change_pct,476
day_change_pct,471
topix_change_pct,463
ma75_gap_pct,440
rsi14,434
return_3d_pct,419
return_5d_pct,407
return_10d_pct,405
ma5_gap_pct,381
drop_from_5d_high_pct,365
drop_from_20d_high_pct,359
ma25_gap_pct,352
rsi_min_5d,342
index_gap_pct,336
drop_pct,72
sector_建設・資材,50
sector_情報通信・サービスその他,40
sector_食品,33
sector_エネルギー資源,22
return_1d_pct,3
rsi_recover_flag,3
volume_spike_flag,2
is_deficit,0
earnings_within_5d_flag,0
margin_buy_change_pct,0
interest_rate_score,0
earnings_recent_flag,0
earnings_soon_flag,0
dividend_yield_pct,0
decliners_ratio,0
bad_news_score,0
advancers_ratio,0
energy_naphtha_score,0
fx_yen_score,0
market_prime,0
margin_ratio,0
net_income_growth_pct,0
nikkei_vi_change_pct,0
nikkei_vi_value,0
operating_profit_growth_pct,0
pbr,0
per,0
roe,0
market_shock_score,0
sector_不動産,0
sector_unknown,0
sector_change_pct,0
sector_gap_pct,0
sector_risk_score,0
short_selling_ratio,0
