feature,importance
vix_change_pct,911
nikkei_change_pct,890
topix_change_pct,866
vix_value,829
volatility_20d,426
ma75_gap_pct,418
drop_from_52w_high_pct,410
atr14,392
volume_ratio_20d,391
return_5d_pct,333
day_change_pct,304
return_10d_pct,300
index_gap_pct,279
drop_from_20d_high_pct,277
drop_from_5d_high_pct,273
return_3d_pct,268
rsi14,268
rsi_min_5d,263
ma25_gap_pct,246
ma5_gap_pct,204
sector_銀行,80
drop_pct,63
sector_情報通信・サービスその他,47
sector_電機・精密,37
sector_小売,37
sector_医薬品,31
sector_食品,26
sector_運輸・物流,25
sector_商社・卸売,20
sector_素材・化学,18
sector_機械,12
sector_建設・資材,10
sector_不動産,8
sector_エネルギー資源,8
sector_鉄鋼・非鉄,8
sector_自動車・輸送機,8
sector_電気・ガス,4
rsi_recover_flag,3
volume_spike_flag,3
sector_金融（除く銀行）,2
return_1d_pct,2
advancers_ratio,0
bad_news_score,0
pbr,0
nikkei_vi_value,0
operating_profit_growth_pct,0
dividend_yield_pct,0
earnings_within_5d_flag,0
fx_yen_score,0
energy_naphtha_score,0
is_deficit,0
interest_rate_score,0
decliners_ratio,0
earnings_soon_flag,0
earnings_recent_flag,0
per,0
market_prime,0
market_shock_score,0
net_income_growth_pct,0
nikkei_vi_change_pct,0
margin_buy_change_pct,0
margin_ratio,0
sector_change_pct,0
roe,0
sector_unknown,0
sector_gap_pct,0
sector_risk_score,0
short_selling_ratio,0
