scenario,mix_name,case_key,weight,return_contribution_pct,contribution_share_pct,avg_trade_return_pct,win_rate,trades,risk_score,notes
2020_covid_crash,core_mix,combo_current__pullback2__margin_le20,0.5,0.0,0.0,,,0,0.0,no trades
2020_covid_crash,core_mix,combo_current__ma5__margin_le20,0.25,0.0,0.0,,,0,0.0,no trades
2020_covid_crash,core_mix,combo_current__rsi70__margin_le5,0.15,0.0,0.0,,,0,0.0,no trades
2020_covid_crash,core_mix,combo_current__fixed10,0.1,0.9099,100.0,0.9453,36.87,179,5.7905,dd heavy
2020_covid_crash,pullback2_only,combo_current__pullback2__margin_le20,1.0,0.0,,,,0,0.0,no trades
2020_covid_crash,defensive_mix,combo_current__pullback2__margin_le20,0.4,0.0,0.0,,,0,0.0,no trades
2020_covid_crash,defensive_mix,combo_current__rsi70__margin_le5,0.3,0.0,0.0,,,0,0.0,no trades
2020_covid_crash,defensive_mix,combo_current__fixed10,0.2,1.8198,100.0,0.9453,36.87,179,2.8953,dd heavy
2020_covid_crash,defensive_mix,combo_current__ma5__margin_le20,0.1,0.0,0.0,,,0,0.0,no trades
2020_covid_crash,bull_mix,combo_current__ma5__margin_le20,0.4,0.0,0.0,,,0,0.0,no trades
2020_covid_crash,bull_mix,combo_current__pullback2__margin_le20,0.4,0.0,0.0,,,0,0.0,no trades
2020_covid_crash,bull_mix,combo_current__rsi70__margin_le5,0.1,0.0,0.0,,,0,0.0,no trades
2020_covid_crash,bull_mix,combo_current__fixed10,0.1,0.9099,100.0,0.9453,36.87,179,5.7905,dd heavy
2022_rate_hike_bear,core_mix,combo_current__pullback2__margin_le20,0.5,0.0,0.0,,,0,0.0,no trades
2022_rate_hike_bear,core_mix,combo_current__ma5__margin_le20,0.25,0.0,0.0,,,0,0.0,no trades
2022_rate_hike_bear,core_mix,combo_current__rsi70__margin_le5,0.15,0.0,0.0,,,0,0.0,no trades
2022_rate_hike_bear,core_mix,combo_current__fixed10,0.1,0.3147,100.0,0.6407,38.01,834,35.0099,dd heavy
2022_rate_hike_bear,pullback2_only,combo_current__pullback2__margin_le20,1.0,0.0,,,,0,0.0,no trades
2022_rate_hike_bear,defensive_mix,combo_current__pullback2__margin_le20,0.4,0.0,0.0,,,0,0.0,no trades
2022_rate_hike_bear,defensive_mix,combo_current__rsi70__margin_le5,0.3,0.0,0.0,,,0,0.0,no trades
2022_rate_hike_bear,defensive_mix,combo_current__fixed10,0.2,0.6295,100.0,0.6407,38.01,834,17.5021,dd heavy
2022_rate_hike_bear,defensive_mix,combo_current__ma5__margin_le20,0.1,0.0,0.0,,,0,0.0,no trades
2022_rate_hike_bear,bull_mix,combo_current__ma5__margin_le20,0.4,0.0,0.0,,,0,0.0,no trades
2022_rate_hike_bear,bull_mix,combo_current__pullback2__margin_le20,0.4,0.0,0.0,,,0,0.0,no trades
2022_rate_hike_bear,bull_mix,combo_current__rsi70__margin_le5,0.1,0.0,0.0,,,0,0.0,no trades
2022_rate_hike_bear,bull_mix,combo_current__fixed10,0.1,0.3147,100.0,0.6407,38.01,834,35.0099,dd heavy
2023_rebound,core_mix,combo_current__pullback2__margin_le20,0.5,24.9278,51.34,1.9591,56.5,600,0.2112,efficient
2023_rebound,core_mix,combo_current__ma5__margin_le20,0.25,11.5126,23.71,1.8904,56.72,580,0.5997,efficient
2023_rebound,core_mix,combo_current__rsi70__margin_le5,0.15,6.8898,14.19,1.7315,60.6,571,0.7644,efficient
2023_rebound,core_mix,combo_current__fixed10,0.1,5.2201,10.75,2.0734,50.42,716,0.8946,efficient
