scenario,scenario_type,case_key,case_name,trades,win_rate,expected_return,total_return_pct,max_drawdown_pct,avg_holding_days,tp_count,sl_count,timeout_count,top20_win_rate,prob65_win_rate,avg_peak_profit_pct,avg_trade_drawdown_pct
custom_recent,custom,combo_ai_top10__atr15,AI上位10件 x ATR 1.5倍,242,35.1,0.325,3.622,-6.832,3.93,82,116,3,37.5,36.4,6.969,-3.625
custom_recent,custom,combo_ai_top10__atr15__margin_le10,AI上位10件 x ATR 1.5倍 x 信用倍率10倍以下,240,33.8,0.423,8.77,-12.039,3.94,76,114,5,37.5,34.9,7.041,-3.779
custom_recent,custom,combo_ai_top10__atr15__margin_le20,AI上位10件 x ATR 1.5倍 x 信用倍率20倍以下,244,34.8,0.218,4.192,-11.533,3.87,80,120,5,35.4,35.1,6.7,-3.975
custom_recent,custom,combo_ai_top10__atr15__margin_le5,AI上位10件 x ATR 1.5倍 x 信用倍率5倍以下,238,31.9,0.204,7.907,-11.829,3.84,71,119,5,36.2,34.8,6.559,-3.935
custom_recent,custom,combo_ai_top10__atr15__short_pressure,AI上位10件 x ATR 1.5倍 x 売り残比率10%以上,240,33.8,0.423,8.77,-12.039,3.94,76,114,5,37.5,34.9,7.041,-3.779
custom_recent,custom,combo_ai_top10__fixed10,AI上位10件 x 固定10%,243,39.1,0.937,14.043,-7.246,3.93,71,142,30,35.4,37.3,5.642,-4.045
custom_recent,custom,combo_ai_top10__fixed10__margin_le10,AI上位10件 x 固定10% x 信用倍率10倍以下,245,38.8,0.982,19.028,-8.903,3.85,76,144,25,34.7,39.8,5.469,-4.111
custom_recent,custom,combo_ai_top10__fixed10__margin_le20,AI上位10件 x 固定10% x 信用倍率20倍以下,244,36.1,0.62,16.938,-8.888,3.9,68,149,27,29.2,35.0,5.253,-4.479
custom_recent,custom,combo_ai_top10__fixed10__margin_le5,AI上位10件 x 固定10% x 信用倍率5倍以下,241,38.2,1.004,19.369,-8.249,3.85,76,142,23,35.4,42.2,5.503,-4.173
custom_recent,custom,combo_ai_top10__fixed10__short_pressure,AI上位10件 x 固定10% x 売り残比率10%以上,245,38.8,0.982,19.028,-8.903,3.85,76,144,25,34.7,39.8,5.469,-4.111
custom_recent,custom,combo_ai_top10__fixed6,AI上位10件 x 固定6%,268,47.4,0.58,13.415,-6.281,2.45,105,128,35,45.3,48.3,4.253,-3.418
custom_recent,custom,combo_ai_top10__fixed6__margin_le10,AI上位10件 x 固定6% x 信用倍率10倍以下,263,47.9,0.688,13.732,-9.263,2.44,109,125,29,48.1,49.3,4.339,-3.34
custom_recent,custom,combo_ai_top10__fixed6__margin_le20,AI上位10件 x 固定6% x 信用倍率20倍以下,263,48.3,0.649,12.809,-8.915,2.48,105,124,34,50.0,46.9,4.24,-3.559
